segment,category
LIFESTAGE College Planning Parent,EDUCATION
LIFESTYLE Online Education,EDUCATION
LIFESTYLE Vocational School,EDUCATION
LIFESTAGE Education Services,EDUCATION
DEMO Career Blue Collar,CAREER
DEMO Career Blue Collar and Job Seeker,CAREER
DEMO Career Business Owners Executives,CAREER
DEMO Career Healthcare,CAREER
DEMO Career Healthcare Nurse,CAREER
DEMO Career Healthcare and Job Seekers,CAREER
DEMO Career Military Active,CAREER
DEMO Career Military Veteran,CAREER
DEMO Career Teachers and Educators,CAREER
DEMO Career White Collar Worker,CAREER
AFIRST Movers Fixers and DIYers,"MOVERS, LIFESTAGE"
LIFESTAGE Home Buyer,"MOVERS, LIFESTAGE"
LIFESTAGE Home Buyer First Time,"MOVERS, LIFESTAGE"
LIFESTAGE Likely to Move,"MOVERS, LIFESTAGE"
CUSTOM New Home Buyer,"MOVERS, LIFESTAGE"
B2B Construction,CAREER
CUSTOM Decision Makers at Facilities or Construction or Insurance,CAREER
CUSTOM Home Builder Contractor,CAREER
CUSTOM Professional Construction Supplies,CAREER
CUSTOM Small Business Owners,CAREER
FIN_Business Owner_Small to Medium,CAREER
CUSTOM Employment Federal First Responder,CAREER
CUSTOM Career Contractors Construction Workers,CAREER
Custom_Doctors and Nurses,CAREER
