segment,times_used,category,is_custom
DEMO Age A25 Plus,223,DEMO,False
DEMO Age A35 Plus,208,DEMO,False
HH Income 100K Plus,178,HH,False
DEMO Homeowner,172,DEMO,False
HH Income 75K Plus,162,HH,False
HH Income 150K Plus,153,HH,False
DEMO Age A25-54,123,DEMO,False
DEMO Age A35-64,121,DEMO,False
HH Children in Household,85,HH,False
DEMO Age A25-64,69,DEMO,False
DEMO Age A45 Plus,60,DEMO,False
DEMO Age A21 Plus,57,DEMO,False
AUTO Intenders,56,AUTO,False
HH Income 125K Plus,51,HH,False
HH Income 50K Plus,50,HH,False
DEMO Age A55 Plus,46,DEMO,False
DEMO Age F35 Plus,45,DEMO,False
DEMO Age F35-64,44,DEMO,False
ENT Performing Arts,44,ENT,False
FIN Credit Score Mid to High,42,FIN,False
DEMO Spanish Speakers,39,DEMO,False
HH Income 250K Plus,39,HH,False
HH Income 200K Plus,36,HH,False
RETAIL Home Furnishing Intender,35,RETAIL,False
DEMO Age A35-54,31,DEMO,False
DEMO Age A25-49,31,DEMO,False
HH Homes Built Before 2015,30,HH,False
HH Income Less than 50K,30,HH,False
HH Home Built Before 2010,29,HH,False
FIN Credit Score High,29,FIN,False
DEMO Age A18-34,29,DEMO,False
DEMO Age F25 Plus,28,DEMO,False
RETAIL Home Furnishing,28,RETAIL,False
HH Net Worth 500K Plus,28,HH,False
DEMO Age A50 Plus,28,DEMO,False
DEMO Age F25-54,27,DEMO,False
TRAVEL Intender,27,TRAVEL,False
HH Home Value 750K Plus,26,HH,False
HH Home Value 500K Plus,26,HH,False
HH Dwelling Single Family,26,HH,False
Lifestyle Charity,25,L,False
HH Home Value 300K Plus,25,HH,False
DEMO Age A18 Plus,24,DEMO,False
DEMO Ethnicity African American,23,DEMO,False
DEMO Age A18-49,23,DEMO,False
DEMO Age F45 Plus,23,DEMO,False
DEMO Career Blue Collar,23,DEMO,False
RETAIL Home Services Home Improvement,23,RETAIL,False
ENT General Interest,23,ENT,False
HH Children Ages 0-12,21,HH,False
LIFESTYLE Music Concert Goers,21,LIFESTYLE,False
Custom ENT Broadway Enthusiast,21,C,True
AUTO Intenders Expanded,20,AUTO,False
LIFESTAGE Job Seeker,20,LIFESTAGE,False
AUTO Truck Intenders,20,AUTO,False
DEMO Age A65 Plus,20,DEMO,False
FIN Services Retirement Planning,20,FIN,False
DEMO Age F35-54,20,DEMO,False
RETAIL Home Services Roofing Only,20,RETAIL,False
DEMO Age F18 Plus,20,DEMO,False
DEMO Age A40 Plus,20,DEMO,False
HH Income Less than 75K,19,HH,False
RETAIL Home Services Windows Doors,19,RETAIL,False
HH Home Built Before 2014,19,HH,False
HH Home Value 400K Plus,19,HH,False
CUSTOM DEMO Senior Living Care Estate Planning Caregiver,19,CUSTOM,True
HH Home Value 250K Plus,19,HH,False
DEMO Age A18-54,19,DEMO,False
LIFESTYLE New Movers,19,LIFESTYLE,False
RETAIL Home Products Mattress,18,RETAIL,False
HH Net Worth 1M Plus,18,HH,False
DEMO Age F25-64,18,DEMO,False
RETAIL Home Services Repair Renovation,18,RETAIL,False
FIN Legal Services,17,FIN,False
AUTO Body Style SUV Intender,17,AUTO,False
AUTO Ford Intenders,17,AUTO,False
AFIRST Parents,17,AFIRST,False
DEMO Age A18-64,17,DEMO,False
TRAVEL Family,17,TRAVEL,False
AUTO Luxury Vehicle Intenders,17,AUTO,False
DEMO Senior Living Care,16,DEMO,False
CUSTOM DEMO Homeowner AND HH Income 150K Plus,16,CUSTOM,True
AUTO Intenders Pickup,16,AUTO,False
DEMO Age A18-24,16,DEMO,False
RETAIL Home Services HVAC,15,RETAIL,False
Lifestyle Outdoors,15,L,False
LIFESTAGE Retired,15,LIFESTAGE,False
DEMO Age A21-34,15,DEMO,False
LIFESTYLE Health Wellness,14,LIFESTYLE,False
SPORTS Golf,14,SPORTS,False
LIFESTYLE Health Fitness,14,LIFESTYLE,False
RETAIL Home Remodel,14,RETAIL,False
CLT 1P Lennar Homes Buy Sell Home,13,CLT,True
AUTO Type Owner,13,AUTO,False
SPORTS Enthusiasts,13,SPORTS,False
AUTO Make Toyota Intenders,13,AUTO,False
RETAIL Home Services Flooring,13,RETAIL,False
HLTH Private Insurance,13,HLTH,False
DEMO Age M18 Plus,13,DEMO,False
AUTO Intenders Pickup Expanded,13,AUTO,False
ENT Fairs and Festivals,13,ENT,False
HH Children Ages 4-12,13,HH,False
DEMO Age A25-44,13,DEMO,False
AFIRST Outdoor Adventurers,12,AFIRST,False
AUTO Truck Intenders OR SUV Intenders,12,AUTO,False
DEMO Age A30 Plus,12,DEMO,False
HH Home Value 150K Plus,12,HH,False
LIFESTAGE Buy Sell Home,12,LIFESTAGE,False
DEMO Education High School,12,DEMO,False
LIFESTAGE Home Buyer,12,LIFESTAGE,False
ENT Casino Player,11,ENT,False
Custom Personal Injury Lawyer Intender,11,C,True
LIFESTYLE Vocational School,11,LIFESTYLE,False
LIFESTYLE Pets,11,LIFESTYLE,False
HH Income Less than 100K,11,HH,False
LIFESTAGE Prospective College Students,11,LIFESTAGE,False
HH Income Less than 150K,11,HH,False
LIFESTAGE New Mover or Homeowner,11,LIFESTAGE,False
TRAVEL Leisure,11,TRAVEL,False
DEMO Age A21-54,11,DEMO,False
SPORTS General,11,SPORTS,False
HH Home Value 200K Plus,11,HH,False
HLTH Glasses and Contact Lenses,11,HLTH,False
DEMO Education Bachelor,11,DEMO,False
AUTO Ford Intenders Expanded,11,AUTO,False
DEMO Career Military Veteran,11,DEMO,False
HH Income 80k Plus,11,HH,False
ENT Comedy,11,ENT,False
DEMO Age M18-34,10,DEMO,False
AFIRST Travel Buffs and Sightseers,10,AFIRST,False
AUTO Electric Intenders,10,AUTO,False
FIN Banking Intenders,10,FIN,False
HH Income Under 60K,10,HH,False
AUTO Drivers,10,AUTO,False
HLTH Dentures and Implants,10,HLTH,False
HLTH Preventative Care,10,HLTH,False
HH Income 60k Plus,10,HH,False
TRAVEL Road Trips,10,TRAVEL,False
AUTO Chevrolet Intenders,10,AUTO,False
RETAIL Home Services Backyard,10,RETAIL,False
RETAIL Home Services Roofing Siding,10,RETAIL,False
HH Home Built Before 2000,10,HH,False
AUTO Truck Intenders Expanded,10,AUTO,False
AUTO RV Intenders,10,AUTO,False
DEMO Age F35-70,10,DEMO,False
Lifestyle Military,9,L,False
Auto Enthusiasts,9,A,False
LIFESTAGE College Planning Parents,9,LIFESTAGE,False
RETAIL Home Services Pest Control,9,RETAIL,False
Lifestyle Music,9,L,False
RETAIL Cosmetic Procedures,9,RETAIL,False
AUTO Type Used Intender,9,AUTO,False
FOOD Casual Sit Down,9,FOOD,False
AFIRST Sports Super Fans,9,AFIRST,False
DEMO Age M25-64,9,DEMO,False
HH Children Ages 6-17,9,HH,False
AUTO Body Style SUV,9,AUTO,False
LIFESTYLE Health Wellness Weight Loss,9,LIFESTYLE,False
Demo Religion Christian,9,D,False
DEMO Career Healthcare Nurse,9,DEMO,False
HH Home Built Before 2005,9,HH,False
AUTO Type New Intender,9,AUTO,False
ENT News Viewers,9,ENT,False
DEMO Age M35-64,9,DEMO,False
RETAIL Home Products Garden,9,RETAIL,False
CUSTOM DEMO Homeowner and HH Income 200K Plus,8,CUSTOM,True
RETAIL Home Products Garden Mowers and Farm Equipment,8,RETAIL,False
FIN General In Mkt Shopper,8,FIN,False
AUTO Body Style Pickup and SUV,8,AUTO,False
LIFESTAGE Higher Education Intender,8,LIFESTAGE,False
DEMO Age M25-54,8,DEMO,False
AUTO Make Honda Intenders,8,AUTO,False
HLTH Conditions Pain,8,HLTH,False
FIN Services Mortgage,8,FIN,False
LIFESTAGE Education Services,8,LIFESTAGE,False
LIFESTYLE LGBTQ Community,8,LIFESTYLE,False
HH Children Ages 2-11,8,HH,False
DEMO Age F21-49,8,DEMO,False
AFIRST Gamers and Tech Junkies,8,AFIRST,False
AUTO Body Style SUV Expanded,8,AUTO,False
RETAIL Generator,8,RETAIL,False
HH Home Value 1M Plus,8,HH,False
DEMO Career Healthcare,8,DEMO,False
RETAIL Fashion Fine Jewelry,8,RETAIL,False
LIFESTAGE Mothers,8,LIFESTAGE,False
FOOD Restaurant Enthusiasts,8,FOOD,False
RETAIL Seasonal Christmas,8,RETAIL,False
POL Premion Republican Affiliation,8,POL,False
RETAIL Home Garden Hot Tub,8,RETAIL,False
HLTH Insurance Medical,8,HLTH,False
TRAVEL Outdoor Adventure,8,TRAVEL,False
HH Children Ages 0-14,8,HH,False
ENT Zoo,8,ENT,False
DEMO Age F18-34,7,DEMO,False
HH Income Less than 125K,7,HH,False
DEMO Age M18-54,7,DEMO,False
Lifestyle Green,7,L,False
HH Net Worth 250K Plus,7,HH,False
TRAVEL Casino,7,TRAVEL,False
TRAVEL Weekend,7,TRAVEL,False
DEMO Age A45-64,7,DEMO,False
DEMO Age M35 Plus,7,DEMO,False
AUTO Body Style SUV Intender Expanded,7,AUTO,False
HH Net Worth 2M Plus,7,HH,False
FIN Loan Auto,7,FIN,False
AUTO Service Repair,7,AUTO,False
DEMO Age A18-44,7,DEMO,False
RETAIL Bathroom Remodeling,7,RETAIL,False
AUTO Body Style Pickup,7,AUTO,False
HLTH Conditions,7,HLTH,False
DEMO Age F55 Plus,7,DEMO,False
HH Children Ages 5-15,7,HH,False
HH Home Built Before 1980,7,HH,False
AUTO Intender Mid-Size SUV Intender,7,AUTO,False
AUTO Service,7,AUTO,False
AFIRST Luxury Shoppers,7,AFIRST,False
CUSTOM Charitable Donors,7,CUSTOM,True
RETAIL Lawn and Garden Homeowner,7,RETAIL,False
AUTO Make CDJR,7,AUTO,False
RETAIL Outdoor Furniture,7,RETAIL,False
FIN Credit Score Low,7,FIN,False
AUTO Luxury Vehicle Intenders Expanded,7,AUTO,False
LIFESTYLE Music Country,7,LIFESTYLE,False
Lifestyle Outdoors Hunting,7,L,False
DEMO Marital Status Married,7,DEMO,False
AUTO Make GMC,7,AUTO,False
HLTH Insurance Medicare or Medicaid,7,HLTH,False
CUSTOM HH Dwelling Single Family and Lifestyle Dogs,7,CUSTOM,True
ENT Holiday Specials Viewers,7,ENT,False
LIFESTYLE Health Fitness Seniors,7,LIFESTYLE,False
AUTO Body Style SUV Small,7,AUTO,False
DEMO Age A40-65,7,DEMO,False
HH Income 75-150K,7,HH,False
DEMO Bilingual English and Spanish,7,DEMO,False
LIFESTYLE Military Families,6,LIFESTYLE,False
RETAIL Sofas and Chairs,6,RETAIL,False
LIFESTYLE Charity,6,LIFESTYLE,False
RETAIL Home Services Plumbing,6,RETAIL,False
LIFESTYLE Public Transportation,6,LIFESTYLE,False
FIN Banking and Mortgage Intenders,6,FIN,False
HLTH Conditions Hearing,6,HLTH,False
DEMO Ethnicity Heritage Hispanic,6,DEMO,False
FOOD Mexican,6,FOOD,False
DEMO Age F25-49,6,DEMO,False
FIN Banking Intenders OR FIN Credit Union Members,6,FIN,False
CUSTOM HH Dwelling Single Family AND DEMO Homeowner,6,CUSTOM,True
HLTH CRX DX Alcohol Opioid Dependency,6,HLTH,False
HLTH Orthopedics,6,HLTH,False
HH Income 175K Plus,6,HH,False
HH No Children,6,HH,False
LIFESTYLE Lottery Sweepstakes,6,LIFESTYLE,False
CUSTOM New Construction Home Intender Next 12 Months OR Homeowner,6,CUSTOM,True
CUSTOM SPORTS NBA Dallas Mavericks,6,CUSTOM,True
AUTO Service Tires,6,AUTO,False
HH Children Ages 4-18,6,HH,False
LIFESTYLE Bargain Shoppers,6,LIFESTYLE,False
HLTH Dental,6,HLTH,False
