segment,impressions
"DEMO Age A25 Plus, CLT 1P Pet Supplies Plus LIFESTYLE Pets Exclusion",131290585
DEMO Age A25-54,53153078
CUSTOM FOOD Grocery Delivery Services,40494460
AUTO Intenders,39956867
"AUTO Intenders, DEMO Age A25-54",35410265
"CUSTOM DEMO Homeowner and HH Income 200K Plus, HH Homes Built Before 2015",33755276
DEMO Homeowner,33051661
CUSTOM Blue Bell Ice Cream Shoppers,32562641
DEMO Age A45 Plus,31490488
"LIFESTYLE Medical or Vocational Interest, DEMO Age F18-34",30870680
DEMO Age A25 Plus,30489365
DEMO Age F25-54,29759099
"CLT 1P Lennar Homes Buy Sell Home, HH Income 75K Plus",27624947
FIN Legal Services,26164652
RETAIL Home Products Garden Mowers and Farm Equipment,25828772
DEMO Spanish Speakers,24252861
DEMO Ethnicity African American,23715210
"HH Income 50K Plus, AUTO Intenders Expanded, DEMO Age A25-54",22294909
DEMO Age A18-49,22199031
"DEMO Age A25 Plus, ENT Casino Player",20614757
"DEMO Age F25-54, RETAIL Home Furnishing Intender",19497102
RETAIL Home Services HVAC,19095427
Custom Personal Injury Lawyer Intender,17553932
"DEMO Homeowner, HH Income 150K Plus",16806696
ENT Casino Player,16596420
CLT Navy Federal Credit Union Lookalike,16174976
HH Children in Household,16104954
CLT 1P Lennar Homes_Buy Sell Home and HHI 75k Plus,15990125
Lennar Homes Website RT,15918602
"DEMO Age A25 Plus, CLT 1P Lennar Homes Buy Sell Home, HH Income 150K Plus",15479371
"CLT 1P NFCU December Audiences Look Alike, LIFESTYLE Military Families",14384147
DEMO Age F25 Plus,14248261
"AFIRST Outdoor Adventurers, HH Children in Household, DEMO Age A25-54",13943014
"DEMO Spanish Speakers, CLT 1P Lennar Homes Buy Sell Home AND HHI 50k Plus",13930839
CUSTOM AUTO Intenders Expanded,13885601
CLT 1P Navy Federal Credit Union Members Only,13790881
"RETAIL Sofas and Chairs, DEMO Age F45 Plus, HH Income 100K Plus",13774443
"HH Income 100K Plus, DEMO Homeowner",13611117
"CLT 1P Wild Animal Sanctuary Net Worth 2M Plus and Charity Wildlife, DEMO Age F45 Plus",13112321
"DEMO Spanish Speakers, LIFESTYLE Medical or Vocational Interest, DEMO Age F18-34",12938697
AUTO Make Subaru Intenders Expanded,12876568
DEMO Age A25-64,12817621
"AUTO Intenders, DEMO Age A25 Plus",12669273
"DEMO Age A25 Plus, CUSTOM Out West",12446534
"LIFESTYLE Vocational School, DEMO Age M18-34",12397567
CLT 1P Lennar Homes Pixel,12365525
DEMO Age A35 Plus,12239058
"CLT 1P NFCU Q2 2026 LAL, LIFESTYLE Military Families",12189376
DEMO Age A21-44,12097911
HH Children Ages 0-12,12072943
"DEMO Age A35 Plus, CLT 1P Morris Jenkins Heating",11637461
DEMO Senior Living Care,11052976
ENT Cord Cutters,10720079
"HH Income Less than 125K, ENT Cord Cutters",10349405
CUSTOM AUTO Subaru CrossTrek Honda HRV Intender,10267564
Finance - Banking Intenders,10185059
LIFESTAGE Job Seeker,10094408
WEB RT- Trane LMG,9501412
"HH Income 150K Plus, RETAIL Home Products Mattress",9453122
"DEMO Age M18-49, LIFESTYLE Vocational School",9350738
Lennar Homes Web Retargeting - New Pixel,9230802
"HH Income 125K Plus, RETAIL Home Furnishing Intender, DEMO Age F35 Plus",8861205
"HH Income 75K Plus, DEMO Homeowner",8623074
"DEMO Age A35-64, HH Income 50K Plus, AUTO Truck Intenders",8532868
"DEMO Education College Some, DEMO Age A25-54",8405768
RETAIL Home Furnishing Intender,8403629
AUTO Type Owner,8343763
"AUTO Type Owner, DEMO Age A25-54",8234801
"DEMO Age A25 Plus, LIFESTYLE Pets",8118322
"HH Income 150K Plus, HLTH Products Vision, DEMO Age A35-54",8107225
DEMO Career Construction Workers,8098225
CUSTOM DEMO Career Self Employed excl BCBS,8043422
HH Income Less than 100K,8029291
RETAIL Sofas and Chairs,7698351
HLTH Mental Health,7667324
"DEMO Age A35 Plus, DEMO Homeowner",7609633
"CLT 1P NFCU December Audiences Look Alike, Lifestyle Military",7576714
"HH Income Less than 75K, Custom Personal Injury Lawyer Intender",7541824
DEMO Age A35-64,7501858
"DEMO Age F35-64, DEMO Homeowner",7428266
DEMO Age A21 Plus,7424304
RETAIL Home Furnishing,7411051
"HH Income Less than 125K, DEMO Age A25-54",7380242
"AUTO Intenders, FIN Credit Score Mid to High",7337606
CUSTOM SDC Compact Midsize Crossover Hybrid EV SUV,7299525
"DEMO Age M18-54, Auto Enthusiasts",7274432
HH Income 100K Plus,7189419
"DEMO Age A21-44, AFIRST Travel Buffs and Sightseers",7064825
"DEMO Homeowner, DEMO Age F35 Plus",7031264
"SPORTS Enthusiasts, DEMO Age A25-54, HH Children Ages 9-17",7003278
CUSTOM Back Neck and Feet Pain,6975578
"DEMO Homeowner, HH Income 200K Plus",6895923
"CUSTOM FOOD Mexican, DEMO Age A18-49",6890296
CUSTOM Out West,6825277
"DEMO Age A25 Plus, CLT 1P Lennar Homes Buy Sell Home, HH Income 100K Plus",6757164
"Lifestyle Green, AUTO Electric Intenders",6747018
"LIFESTYLE Commuters, AUTO Electric Intenders",6746944
"RETAIL Home Furnishing Intender, HH Income 125K Plus",6731171
SPORTS Football,6728381
"LIFESTYLE College Courses, DEMO Age A18-49",6615446
DEMO Age F35 Plus,6593392
CUSTOM AUTO Subaru Distributors Corporation Small SUV Crossover Intender,6322264
"AUTO Intenders, HH Income 50K Plus",6299486
"DEMO Homeowner, DEMO Age F25-54, HH Income 100K Plus",6200110
DEMO Career Blue Collar,6132008
"DEMO Age A35-64, HH Income 75K Plus, AUTO Truck Intenders",6097885
"CUSTOM HH Home Built Before 2014 and DEMO Homeowner, RETAIL Home Services Foundation Repair",6060465
HH Income Less than 75K,5823263
"DEMO Homeowner, RETAIL Home Services HVAC",5818244
HH Income 150K Plus,5742404
