vertical,category,rank
healthcare,HLTH,1
healthcare,DEMO,2
healthcare,HH,3
healthcare,LIFESTAGE,4
healthcare,CAREER,5
retail,RETAIL,1
retail,LIFESTYLE,2
retail,DEMO,3
travel,TRAVEL,1
travel,LIFESTYLE,2
travel,DEMO,3
home_improvement,RETAIL,1
home_improvement,HH,2
home_improvement,LIFESTAGE,3
home_improvement,CAREER,4
banking,FIN,1
banking,DEMO,2
banking,HH,3
banking,CAREER,4
entertainment,ENT,1
entertainment,LIFESTYLE,2
entertainment,DEMO,3
dining_qsr,FOOD,1
dining_qsr,LIFESTYLE,2
dining_qsr,DEMO,3
auto,AUTO,1
auto,DEMO,2
education,EDUCATION,1
education,LIFESTAGE,2
education,DEMO,3
legal,LEGAL,1
legal,FIN,2
legal,DEMO,3
legal,HLTH,4
legal,AUTO,5
